001,01,01,xyz-abc,06,11,08,01,24,
003,01,01,xyz-abc,06,31,08,01,24,
004,01,01,xyz-abc,06,34,08,01,24,
004,01,01,xyz-abc,07,04,08,01,24,
006,01,01,xyz-abc,07,10,08,01,24,
006,01,01,xyz-abc,07,10,08,01,24,
006,01,01,xyz-abc,07,13,08,01,24,
004,01,01,xyz-abc,07,15,08,01,24,
008,01,01,xyz-abc,07,15,08,01,24,
003,01,01,xyz-abc,07,19,08,01,24,
004,01,01,xyz-abc,07,19,08,01,24,
006,01,01,xyz-abc,07,20,08,01,24,
003,01,01,xyz-abc,07,22,08,01,24,
006,01,01,xyz-abc,07,23,08,01,24,
005,01,01,xyz-abc,07,23,08,01,24,
006,01,01,xyz-abc,07,24,08,01,24,
004,01,01,xyz-abc,07,25,08,01,24,
003,01,01,xyz-abc,07,25,08,01,24,
004,01,01,xyz-abc,07,26,08,01,24,
006,01,01,xyz-abc,07,27,08,01,24,
004,01,01,xyz-abc,07,28,08,01,24,
008,01,01,xyz-abc,07,28,08,01,24,
007,01,01,xyz-abc,07,29,08,01,24,
006,01,01,xyz-abc,07,29,08,01,24,
006,01,01,xyz-abc,07,30,08,01,24,
006,01,01,xyz-abc,07,30,08,01,24,
007,01,01,xyz-abc,07,31,08,01,24,
004,01,01,xyz-abc,07,31,08,01,24,
007,01,01,xyz-abc,07,31,08,01,24,
001,01,01,xyz-abc,07,31,08,01,24,
002,01,01,xyz-abc,07,32,08,01,24,
006,01,01,xyz-abc,07,32,08,01,24,
006,01,01,xyz-abc,07,33,08,01,24,
006,01,01,xyz-abc,07,34,08,01,24,
006,01,01,xyz-abc,07,34,08,01,24,
006,01,01,xyz-abc,07,35,08,01,24,
004,01,01,xyz-abc,07,35,08,01,24,
004,01,01,xyz-abc,07,36,08,01,24,
004,01,01,xyz-abc,07,37,08,01,24,
002,01,01,xyz-abc,07,37,08,01,24,
004,01,01,xyz-abc,07,38,08,01,24,
007,01,01,xyz-abc,07,38,08,01,24,
001,01,01,xyz-abc,07,38,08,01,24,
004,01,01,xyz-abc,07,38,08,01,24,
005,01,01,xyz-abc,07,38,08,01,24,
005,01,01,xyz-abc,07,38,08,01,24,
004,01,01,xyz-abc,07,38,08,01,24,
007,01,01,xyz-abc,07,39,08,01,24,
002,01,01,xyz-abc,07,41,08,01,24,
006,01,01,xyz-abc,07,41,08,01,24,
002,01,01,xyz-abc,07,41,08,01,24,
003,01,01,xyz-abc,07,41,08,01,24,
003,01,01,xyz-abc,07,42,08,01,24,
006,01,01,xyz-abc,07,42,08,01,24,
003,01,01,xyz-abc,07,43,08,01,24,
008,01,01,xyz-abc,07,43,08,01,24,
